trial,seed,usable_gap_step_mm,test_number,raw_requested_gap_mm,requested_gap_mm,actual_gap_mm,measured_gap_mm,article_threshold_mm,outcome,stage,incoming_middle_mm,incoming_overall_variation_mm
1,202609141,0.05,18,2.16925030532607,2.15,2.1793892372882,2.18420455653739,2.19929915982896,Interaction,3,2.53690648623776,0.375159368277237
1,202609141,0.05,19,2.91228788391669,2.9,2.91263647248675,2.91627454051817,2.45551365684609,No interaction,3,2.56325291271695,0.358168261877626
1,202609141,0.05,20,2.21427289194515,2.2,2.19696625846396,2.18471875402158,3.1914756253547,Interaction,3,2.53910102733195,0.341744487518991
1,202609141,0.05,21,2.87243773177141,2.85,2.88274425902276,2.89755097536209,2.57111967025548,No interaction,3,2.55853944735174,0.328689303057244
1,202609141,0.05,22,2.82843119332322,2.8,2.82423610423611,2.82278946936731,2.90715273898348,Interaction,3,2.53888057590856,0.315414615920112
1,202609141,0.05,23,2.23198398666936,2.25,2.2335861814002,2.25072263670716,2.85931041922186,Interaction,3,2.62251210673285,0.355025563694085
1,202609141,0.05,24,2.26616728634097,2.3,2.28743965107665,2.29497558881247,2.83062592202265,Interaction,3,2.63782826665002,0.342386900330764
1,202609141,0.05,25,3.00826937747047,3,3.00159664343571,3.00446408985693,1.94641756337729,No interaction,3,2.65238800960965,0.331360677710258
1,202609141,0.05,26,2.2986260440491,2.3,2.27987563374469,2.28200168268041,2.58530828585742,Interaction,3,2.63895043291677,0.320758142193839
1,202609141,0.05,27,2.32511598410078,2.35,2.3573712859515,2.34627389048342,1.37020605515104,No interaction,3,2.65021744523497,0.311847924349345
1,202609141,0.05,28,2.98528092683924,3,2.97024134869595,2.98209056138144,2.28387811027523,No interaction,3,2.59026811222228,0.347264012850074
1,202609141,0.05,29,2.9571099379615,2.95,2.97367222807972,2.96813716249266,2.38789628120899,No interaction,3,2.57972929804105,0.337248114316764
1,202609141,0.05,30,2.20872366183197,2.2,2.19354810319832,2.19358528369602,2.38548870624821,Interaction,3,2.57043720817993,0.328531831378709
1,202609141,0.05,31,2.9259439370762,2.95,2.94019539930856,2.94806522506734,2.5841074389695,No interaction,3,2.5790468337302,0.320755527828018
1,202609141,0.05,32,2.23701370057141,2.25,2.23760370256034,2.22949440382488,1.72163380236634,No interaction,3,2.5704525358064,0.313235166965698
1,202609141,0.05,33,2.9323008718349,2.95,2.95062294459094,2.94154182236312,3.2098836570144,Interaction,3,2.51872636672262,0.352728789008336
1,202609141,0.05,34,2.06592807215197,2.05,2.08853036883866,2.06055932776147,2.43052581759229,Interaction,3,2.57141662921839,0.406504669936808
1,202609141,0.05,35,3.06743283880169,3.05,3.09227796491602,3.10414389502996,1.97195038013052,No interaction,3,2.57797478502921,0.397771681245417
1,202609141,0.05,36,2.10080646474661,2.1,2.11302660456121,2.11354369064261,3.06607121131418,Interaction,3,2.57226940138549,0.390122413437215
1,202609141,0.05,37,3.03613811103327,3.05,3.03605470479014,3.04882285478855,2.69650085884923,No interaction,3,2.57915479214162,0.382252880712382
1,202609141,0.05,38,2.13141269361113,2.15,2.13104861341366,2.11492704496756,2.4547743076353,Interaction,3,2.57296162911225,0.375147778675549
1,202609141,0.05,39,3.00719764836463,3,3.00837906912017,3.00104422723164,1.66694719868936,No interaction,3,2.57902389714604,0.368479992442848
1,202609141,0.05,40,2.1571535986605,2.15,2.14397591973039,2.14349167573654,2.44948902453801,Interaction,3,2.57244278092213,0.361907784105997
1,202609141,0.05,41,2.98149209991615,3,2.97635753808228,2.97695667782201,2.31720531760069,No interaction,3,2.5784495219476,0.355887486064948
1,202609141,0.05,42,2.18023279658287,2.2,2.2279962933868,2.2370469511742,1.41937185141156,No interaction,3,2.57200610636206,0.349953827404362
1,202609141,0.05,43,2.08598178496324,2.1,2.12248012133443,2.12102536715638,2.44489763680023,Interaction,3,2.53487192744324,0.377694692873374
1,202609141,0.05,44,2.9769384201589,3,2.98446836918579,2.97356839721792,2.80095879594361,No interaction,3,2.54104660062094,0.37144594762502
