scenario,true_middle_mm,true_variation_mm,usable_step_mm,starting_variation_mm,article_count,first_seed,repetitions,overlap_runs,paused_runs,invariant_failures,nonfinite_requests,out_of_bounds_requests,off_grid_requests,immediate_duplicate_requests,invalid_stage_values,stage_reversals,budget_overruns,measurement_count_failures,invalid_fits,probability_direction_failures,missing_pause_reasons,replay_matches,middle_bias_mm,middle_rmse_mm,variation_bias_mm,variation_rmse_mm,median_run_seconds,maximum_run_seconds,execution_mode
91,1.5,0.15,0.15,1,20,202700141,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0886840886027749,0.0886840886027749,-0.0194340122039218,0.0194340122039218,0.0098287,0.0937499,serial
92,5,0.15,0.15,1,20,202701141,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0153043352921549,0.016657099539597,0.010625371183213,0.032383667367516,0.0124839,0.1212983,serial
93,8.5,0.15,0.15,1,20,202702141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0094823,0.0101648,serial
94,1.5,0.25,0.15,1,20,202703141,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0914867004550515,0.128000940386313,-0.0842875217518577,0.0874623122906801,0.1027281,0.1072052,serial
95,5,0.25,0.15,1,20,202704141,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.00396508801089102,0.0794818135221702,0.0629541272605847,0.0742535867819199,0.097292,0.1208667,serial
96,8.5,0.25,0.15,1,20,202705141,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0012761146056377,0.108481152755769,0.044104635083765,0.0814674733051841,0.0862332,0.1091855,serial
97,1.5,0.5,0.15,1,20,202706141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0440673799791789,0.0872309238870666,-0.00117469628446488,0.0947316700808667,0.1144433,0.1215115,serial
98,5,0.5,0.15,1,20,202707141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13957407398383,0.289287529312897,-0.0277333369117308,0.137280327515782,0.1315181,0.1834564,serial
99,8.5,0.5,0.15,1,20,202708141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0228665708202946,0.141308756309301,-0.0794911271357206,0.132322533285078,0.1040451,0.1126351,serial
100,1.5,1,0.15,1,20,202709141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.031295445602032,0.299194377921265,-0.179724543692331,0.539425622778079,0.1157214,0.1349616,serial
101,5,1,0.15,1,20,202710141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.174757070631251,0.408322145684328,-0.154106256281825,0.383882132089266,0.1200758,0.1386505,serial
102,8.5,1,0.15,1,20,202711141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.192865290889845,0.347963783190197,-0.0350150221233549,0.278660236772663,0.1147156,0.1289185,serial
103,1.5,1.5,0.15,1,20,202712141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0873936590044213,0.474656068866789,-0.447014884979949,0.576519217853698,0.1303514,0.1377203,serial
104,5,1.5,0.15,1,20,202713141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.175759321723731,0.391544503968644,-0.484573482033364,1.01459906568338,0.1218779,0.1624501,serial
105,8.5,1.5,0.15,1,20,202714141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0162434820273319,0.224418006170253,-0.78729407372101,0.816036524180311,0.1215381,0.1243454,serial
106,1.5,0.15,0.5,1,20,202715141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0104523,0.0114371,serial
