budget,true_sigma,increment,floor_factor,single_reading_sd,reading_count,expected_average_sd,build_sd_factor,build_sd,repetitions,recorded_overlap_rate,actual_overlap_rate,false_overlap_rate,mu_bias,mu_rmse,sigma_bias,sigma_rmse,mean_abs_record_error,mean_abs_build_error,mean_duplicates,mean_stage2_tests,execution_mode,scenario_shard_index,scenario_shard_count,seed,repeated_setting_rate,nonfinite_fit_rate
20,0.1,0.1,0,0.03,4,0.015,0,0,300,0.783333333333333,0.783333333333333,0,0.00499248450855441,0.0483210614725822,0.0119972142298729,0.03606539129104,0.0120265404726299,0,10.5766666666667,8.37666666666667,process-shard,3,4,20260912,0.528833333333335,0.216666666666667
20,0.1,0.1,0,0.03,4,0.015,0.25,0.025,300,0.81,0.81,0,0.0105326814288533,0.0577172144479487,0.013275550524469,0.0448015399711825,0.0120265404726299,0.0200876535556413,10.91,8.11,process-shard,2,4,20260912,0.5455,0.19
20,0.1,0.1,0,0.03,4,0.015,0.5,0.05,300,0.826666666666667,0.826666666666667,0.00666666666666667,0.00674155359408278,0.0528162199149898,0.00349682646697498,0.046686851639537,0.0120265404726299,0.0401753071112826,11.6466666666667,8.57,process-shard,1,4,20260912,0.582333333333335,0.173333333333333
20,0.1,0.1,0,0.03,5,0.0134164078649987,0,0,300,0.723333333333333,0.723333333333333,0,0.00524913283081419,0.0518915355517702,0.0138705201279058,0.039881104847895,0.010645265293508,0,11.06,9.40666666666667,process-shard,4,4,20260912,0.553,0.276666666666667
20,0.1,0.1,0,0.03,5,0.0134164078649987,0.25,0.025,300,0.756666666666667,0.756666666666667,0,0.00815612689910807,0.0559192632569111,0.0133667600786131,0.0451133658618321,0.0106452652935081,0.0200798108249897,11.2833333333333,9.26333333333333,process-shard,3,4,20260912,0.564166666666665,0.243333333333333
20,0.1,0.1,0,0.03,5,0.0134164078649987,0.5,0.05,300,0.8,0.793333333333333,0.0133333333333333,0.00459342272279776,0.0513910871337315,-0.000579585260884312,0.0458516775122242,0.0106452652935081,0.0401596216499794,11.7466666666667,8.89,process-shard,2,4,20260912,0.587333333333335,0.2
20,0.1,0.1,1,0.015,4,0.0075,0,0,300,0.746666666666667,0.746666666666667,0,-0.00252893141907586,0.0469225084174081,0.0142829170287768,0.0373745499812513,0.0059044775901462,0,10.7733333333333,8.87333333333333,process-shard,2,4,20260912,0.538666666666665,0.253333333333333
20,0.1,0.1,1,0.015,4,0.0075,0.25,0.025,300,0.746666666666667,0.746666666666667,0,0.000471278343462211,0.0535142339916664,0.0115508773617518,0.0421065733390327,0.0059044775901462,0.0200199196600536,11.21,8.75666666666667,process-shard,1,4,20260912,0.5605,0.253333333333333
20,0.1,0.1,1,0.015,4,0.0075,0.5,0.05,300,0.82,0.823333333333333,0,0.00123964768842533,0.0475258901608781,0.00247673953264619,0.0406829956087916,0.0059044775901462,0.0400398393201072,11.65,8.86666666666667,process-shard,4,4,20260912,0.5825,0.18
20,0.1,0.1,1,0.015,5,0.00670820393249937,0,0,300,0.706666666666667,0.706666666666667,0,0.00290893217158265,0.0641734158457981,0.0176143036324859,0.0446564832682624,0.00540181849083,0,11.11,9.64666666666667,process-shard,3,4,20260912,0.5555,0.293333333333333
