budget,true_sigma,increment,floor_factor,single_reading_sd,reading_count,expected_average_sd,build_sd_factor,build_sd,repetitions,recorded_overlap_rate,actual_overlap_rate,false_overlap_rate,mu_bias,mu_rmse,sigma_bias,sigma_rmse,mean_abs_record_error,mean_abs_build_error,mean_duplicates,mean_stage2_tests,seed
50,0.5,0.05,2,0.015,4,0.0075,0,0,300,1,1,0,0.00361183234538634,0.106880964611843,-0.0432813272067129,0.119383768187929,0.0059632160755205,0,24.68,3.01666666666667,20260912
50,0.5,0.05,0,0.015,4,0.0075,0.25,0.0125,300,0.996666666666667,0.996666666666667,0,-0.00843190320647662,0.109303970441936,-0.0428605464720403,0.1231306380031,0.0059632160755205,0.0100378788282469,24.69,3.22,20260912
50,0.5,0.05,1,0.015,4,0.0075,0.25,0.0125,300,0.996666666666667,0.996666666666667,0,-0.00843190320647662,0.109303970441936,-0.0428605464720403,0.1231306380031,0.0059632160755205,0.0100378788282469,24.69,3.22,20260912
50,0.5,0.05,2,0.015,4,0.0075,0.25,0.0125,300,1,1,0,-0.00876278952923152,0.109142512118046,-0.0428574478607604,0.123238080455966,0.0059632160755205,0.0100378788282469,24.64,3.12333333333333,20260912
50,0.5,0.05,0,0.015,4,0.0075,0.5,0.025,300,1,1,0,-0.0070051776508893,0.114087375419996,-0.0381151217845197,0.130356166470952,0.0059632160755205,0.0200757576564938,24.7133333333333,3.22,20260912
50,0.5,0.05,1,0.015,4,0.0075,0.5,0.025,300,1,1,0,-0.00708277774097558,0.114038133134525,-0.0382480594514904,0.130571492886806,0.0059632160755205,0.0200757576564938,24.7233333333333,3.22,20260912
50,0.5,0.05,2,0.015,4,0.0075,0.5,0.025,300,1,1,0,-0.00705258717424755,0.114160214076691,-0.0382067406150097,0.130732703219714,0.0059632160755205,0.0200757576564938,24.73,3.23333333333333,20260912
50,0.5,0.1,0,0.015,4,0.0075,0,0,300,0.996666666666667,0.996666666666667,0,-0.0018992963006193,0.117291871976077,-0.0337224843537812,0.117950814668221,0.00602115674446876,0,32.5133333333333,3.26666666666667,20260912
50,0.5,0.1,1,0.015,4,0.0075,0,0,300,0.996666666666667,0.996666666666667,0,-0.000341985958963219,0.114551134172142,-0.0343441273297547,0.119005738917693,0.00602115674446876,0,32.5066666666667,3.25333333333333,20260912
50,0.5,0.1,2,0.015,4,0.0075,0,0,300,1,1,0,0.00016795358343711,0.112830862576555,-0.0347011937138134,0.119333456182095,0.00602115674446876,0,32.4366666666667,3.01333333333333,20260912
50,0.5,0.1,0,0.015,4,0.0075,0.25,0.025,300,1,1,0,0.00598301262855835,0.107141302754676,-0.0383140943322456,0.114649072487882,0.00602115674446876,0.020085389767354,32.7733333333333,2.90333333333333,20260912
50,0.5,0.1,1,0.015,4,0.0075,0.25,0.025,300,0.996666666666667,0.996666666666667,0,0.00732584025660103,0.10733205834355,-0.0387435509166762,0.115018588677439,0.00602115674446876,0.020085389767354,32.8133333333333,3.07333333333333,20260912
50,0.5,0.1,2,0.015,4,0.0075,0.25,0.025,300,1,1,0,0.00668036285106817,0.106897951802856,-0.0422158397337456,0.120241398980901,0.00602115674446876,0.020085389767354,32.8433333333333,2.99,20260912
50,0.5,0.1,0,0.015,4,0.0075,0.5,0.05,300,1,1,0,0.000842325871307154,0.114582775213654,-0.0355105304501252,0.115875334152365,0.00602115674446876,0.040170779534708,32.8633333333333,3.37333333333333,20260912
50,0.5,0.1,1,0.015,4,0.0075,0.5,0.05,300,1,1,0,0.00170191538115743,0.114552186320191,-0.0358291148927666,0.115802836007084,0.00602115674446876,0.040170779534708,32.8666666666667,3.36333333333333,20260912
50,0.5,0.1,2,0.015,4,0.0075,0.5,0.05,300,1,1,0,0.000225634483779512,0.11339713201273,-0.0364248630698061,0.116599475503645,0.00602115674446875,0.040170779534708,32.8866666666667,3.40666666666667,20260912
