engine,budget,mean_offset_guess_sigma,true_sigma_ratio,repetitions,overlap_rate,overlap_rate_se,mean_overlap_test,mu_bias,mu_rmse,sigma_bias,sigma_rmse,clip_rate,nonfinite_rate,mean_duplicate_levels,mean_stage2_tests,grid_points,seed
proposed,20,5,10,100,1,0,6.35,-0.0019885701653098,3.36333751388668,-2.78254774442218,5.77943979643989,0.03,0,0.08,2.18,2001,20260905
proposed,50,0,0.1,100,1,0,16.28,0.00109087811127514,0.0280593076289075,-0.00916594925891485,0.0243245173025117,0,0,18.27,13.28,2001,20260905
proposed,50,0,0.2,100,1,0,13.88,0.00245229010563699,0.0462954205982077,-0.0198117090650482,0.0569145114675294,0,0,12.89,10.88,2001,20260905
proposed,50,0,0.5,100,1,0,10.01,0.0124401803579385,0.106450281664392,-0.0355548041046021,0.118869311482971,0,0,6.2,7.01,2001,20260905
proposed,50,0,1,100,1,0,7.44,-0.00219129603042262,0.212243556058695,-0.0656807337630698,0.26090475108798,0,0,3.7,4.36,2001,20260905
proposed,50,0,2,100,1,0,6.45,-0.00148960898593103,0.465483810661002,-0.165822634210013,0.548484009313351,0,0,2.05,3.29,2001,20260905
proposed,50,0,5,100,1,0,6.05,0.0683743523718259,1.07494286523656,-0.342673875314546,1.29553565232481,0,0,0.72,2.54,2001,20260905
proposed,50,0,10,100,1,0,5.83,0.226841293518971,2.08689349908506,-1.09121211173498,2.49283948561538,0,0,0.35,2.05,2001,20260905
proposed,50,2,0.1,100,0.98,0.014,17.4285714285714,0.00302345938958483,0.0265203209363212,-0.0118947240394818,0.0293817293161112,0,0,18.65,14.6,2001,20260905
proposed,50,2,0.2,100,0.99,0.0099498743710662,13.3131313131313,0.00158161599682421,0.0485003599796195,-0.0162424860257169,0.0487956375658802,0,0,12.2,10.22,2001,20260905
proposed,50,2,0.5,100,1,0,10.79,-0.00448115859413979,0.105565160768953,-0.0506325642352035,0.120410999451517,0,0,6.34,7.26,2001,20260905
proposed,50,2,1,100,1,0,7.69,0.0120525327312265,0.218553204845702,-0.044009592529548,0.266173815839995,0,0,3.65,4.23,2001,20260905
proposed,50,2,2,100,1,0,6.09,0.020389919254339,0.401708533921057,-0.190458762026339,0.474204268309959,0,0,1.94,2.68,2001,20260905
proposed,50,2,5,100,1,0,6.01,0.079546189309812,1.23398008750974,-0.508521842091,1.42760613214814,0,0,0.75,2.16,2001,20260905
proposed,50,2,10,100,1,0,5.71,0.204690484065602,2.4182090167063,-0.920926411494558,2.71325271419014,0,0,0.4,1.92,2001,20260905
proposed,50,5,0.1,100,0.98,0.014,15.3163265306122,0.00438580216738429,0.027577977107003,-0.00790744979524075,0.0297471346818364,0,0,16.12,10.01,2001,20260905
proposed,50,5,0.2,100,1,0,13.9,0.00138472534704701,0.0479332277892595,-0.0141414168926104,0.052278214352062,0,0,10.12,7.9,2001,20260905
proposed,50,5,0.5,100,1,0,11.34,-0.000900605013970255,0.104427178826839,-0.0339436201536134,0.123580433013779,0,0,4.98,5.36,2001,20260905
