budget,true_sigma,increment,floor_factor,single_reading_sd,reading_count,expected_average_sd,repetitions,recorded_overlap_rate,actual_overlap_rate,false_overlap_rate,mu_bias,mu_rmse,sigma_bias,sigma_rmse,mean_abs_record_error,mean_duplicates,mean_stage2_tests,seed
50,0.2,0.1,0,0.015,5,0.00670820393249937,300,0.56,0.56,0,-0.00521943718237351,0.0449937712658122,-0.0120089666377585,0.0471166676331106,0.00544374798225175,41.8433333333333,24.1266666666667,20260912
50,0.2,0.1,1,0.015,5,0.00670820393249937,300,0.546666666666667,0.546666666666667,0,-0.00617520797322179,0.0445510239049396,-0.014117821616372,0.0491537264847609,0.00540316173102639,41.9833333333333,24.5666666666667,20260912
50,0.2,0.1,2,0.015,5,0.00670820393249937,300,0.463333333333333,0.463333333333333,0,-0.00410262325172804,0.0471243031171629,-0.0143192027143798,0.0479226965972824,0.00536849591851053,42.92,27.6,20260912
50,0.5,0.05,0,0.015,4,0.0075,300,0.633333333333333,0.633333333333333,0,-0.0117621536109925,0.119628213561789,-0.0411382983042117,0.130715893432154,0.00594840742237945,33.1033333333333,20.5,20260912
50,0.5,0.05,1,0.015,4,0.0075,300,0.623333333333333,0.623333333333333,0,-0.00996996869507439,0.119476924355353,-0.0432827269692077,0.131156282086222,0.00595354585408233,33.3033333333333,20.78,20260912
50,0.5,0.05,2,0.015,4,0.0075,300,0.59,0.59,0,-0.00985539188067482,0.116880771960385,-0.0423556457357253,0.126232952849683,0.00586399357675905,33.8933333333333,21.8266666666667,20260912
50,0.5,0.05,0,0.015,5,0.00670820393249937,300,0.593333333333333,0.593333333333333,0,0.0139365821705518,0.117823762836169,-0.0284210220512714,0.141522138353505,0.00538511275642747,33.5933333333333,22.09,20260912
50,0.5,0.05,1,0.015,5,0.00670820393249937,300,0.586666666666667,0.586666666666667,0,0.0150820496994387,0.11775784838091,-0.0308333888170747,0.140680004344288,0.00541570652067951,33.7033333333333,22.2566666666667,20260912
50,0.5,0.05,2,0.015,5,0.00670820393249937,300,0.553333333333333,0.553333333333333,0,0.0133937269645194,0.118459278659695,-0.0334324179469506,0.143194801968199,0.0053918064094321,34.3833333333333,23.3066666666667,20260912
50,0.5,0.1,0,0.015,4,0.0075,300,0.58,0.58,0,-0.0157010677415499,0.106580993238385,-0.0450184980558406,0.125374108580735,0.00630149448382978,38.6433333333333,22.4666666666667,20260912
50,0.5,0.1,1,0.015,4,0.0075,300,0.543333333333333,0.543333333333333,0,-0.0159829267404008,0.106171290105657,-0.050727573933115,0.121838055175854,0.00629082795606589,39.12,23.63,20260912
50,0.5,0.1,2,0.015,4,0.0075,300,0.446666666666667,0.446666666666667,0,-0.0172013280452332,0.104197236613403,-0.0471342550693932,0.116831063382432,0.00623377297805941,40.3733333333333,27.0933333333333,20260912
50,0.5,0.1,0,0.015,5,0.00670820393249937,300,0.656666666666667,0.656666666666667,0,0.00877703610032062,0.117072357950634,-0.0316688941325436,0.123923391790177,0.00537475708775439,37.4166666666667,19.2933333333333,20260912
50,0.5,0.1,1,0.015,5,0.00670820393249937,300,0.623333333333333,0.623333333333333,0,0.0101669259768891,0.113169071790328,-0.0308336503668265,0.121611655322587,0.00539794432988632,37.7866666666667,20.33,20260912
50,0.5,0.1,2,0.015,5,0.00670820393249937,300,0.48,0.48,0,0.0117117008650665,0.116473878412009,-0.0276947292220018,0.121903008504031,0.0055241717107873,39.75,25.46,20260912
