engine,budget,mean_offset_guess_sigma,true_sigma_ratio,repetitions,overlap_rate,overlap_rate_se,mean_overlap_test,mu_bias,mu_rmse,sigma_bias,sigma_rmse,clip_rate,nonfinite_rate,mean_duplicate_levels,mean_stage2_tests,grid_points,seed
shrink-only,50,2,2,100,1,0,6.27,0.00734387675920705,0.414524851698881,-0.157000095961075,0.483712423659886,0,0,1.71,3.91,2001,20260905
shrink-only,50,2,5,100,1,0,6.34,0.0551093978285476,1.23437950511539,-0.493562800134137,1.33659409207694,0,0,0.71,3.68,2001,20260905
shrink-only,50,2,10,100,1,0,5.94,0.169773925714028,2.48445945194195,-0.869709862892078,2.50336355048631,0,0,0.38,3.34,2001,20260905
shrink-only,50,5,0.1,100,1,0,21.69,0.00562204503660461,0.0294590091980853,-0.0108505898333684,0.0269608281046859,0,0,14.01,17.69,2001,20260905
shrink-only,50,5,0.2,100,1,0,17.51,-0.00888206447422812,0.045102351345091,-0.0140904555560328,0.0447805900079026,0,0,9.6,13.51,2001,20260905
shrink-only,50,5,0.5,100,1,0,12.5,0.00514376898090395,0.113610507719655,-0.0338116540526517,0.131336287902589,0,0,5.4,8.51,2001,20260905
shrink-only,50,5,1,100,1,0,10.06,-0.0275465123455116,0.238895883732259,-0.0790459230259117,0.231421955857405,0,0,3.69,6.21,2001,20260905
shrink-only,50,5,2,100,1,0,8.19,-0.0117782391669512,0.430498193530522,-0.173635168544282,0.475925355607951,0,0,2.23,4.66,2001,20260905
shrink-only,50,5,5,100,1,0,6.73,0.0618030072175054,1.1938996760377,-0.410254416644373,1.14284435724539,0,0,0.96,3.62,2001,20260905
shrink-only,50,5,10,100,1,0,6.75,0.288209859011712,2.18682241819521,-1.04096303474723,2.70446572010981,0,0,0.44,3.87,2001,20260905
