budget,true_sigma,increment,single_reading_sd,reading_count,expected_average_sd,repetitions,overlap_rate,actual_overlap_rate,measurement_only_overlap_rate,mu_bias,mu_rmse,sigma_bias,sigma_rmse,mean_abs_record_error,seed
50,0.1,0.05,0.015,1,0.015,100,1,1,0,-0.00154510734192154,0.0266088585294629,-0.00726181272185857,0.0279076892081543,0.0118402078630928,20260910
50,0.1,0.05,0.015,5,0.00670820393249937,100,1,1,0,0.00170608391437558,0.0252183546431916,-0.00933088616783076,0.0273850221267169,0.00539490341193534,20260910
50,0.1,0.1,0.015,1,0.015,100,1,0.97,0.03,0.0026326042432655,0.0249038802867463,-0.00982546684731919,0.0282591291027613,0.0118402078630928,20260910
50,0.1,0.1,0.015,5,0.00670820393249937,100,1,0.91,0.09,0.00444427408754508,0.0268976655511752,-0.0142928146207612,0.0339120227762613,0.00539490341193535,20260910
50,0.1,0.05,0.03,1,0.03,100,1,1,0,0.0018395207058845,0.0248676494443988,-0.000347278693337532,0.0252034040800644,0.023568416906188,20260910
50,0.1,0.05,0.03,5,0.0134164078649987,100,1,1,0,-0.00109847507120558,0.024372881940491,-0.00600600347789083,0.023922235747732,0.0107516611158487,20260910
50,0.1,0.1,0.03,1,0.03,100,1,0.97,0.03,0.00114025368513748,0.0275662146844212,-0.00521875636145064,0.0281368363824305,0.023568416906188,20260910
50,0.1,0.1,0.03,5,0.0134164078649987,100,1,0.97,0.03,-0.000571258787375744,0.0268392429698929,-0.00975558788269553,0.0252190257413208,0.0107516611158487,20260910
50,0.2,0.05,0,1,0,100,0.93,0.93,0,-0.00201933695297809,0.0472301523259372,-0.0121896369448029,0.0499927447818772,0,20260910
50,0.2,0.05,0,5,0,100,0.93,0.93,0,-0.00201933695297809,0.0472301523259372,-0.0121896369448029,0.0499927447818772,0,20260910
50,0.2,0.1,0,1,0,100,0.76,0.76,0,0.00651164143368758,0.050840489292565,-0.0115857141737396,0.0432823453568033,0,20260910
50,0.2,0.1,0,5,0,100,0.76,0.76,0,0.00651164143368758,0.050840489292565,-0.0115857141737396,0.0432823453568033,0,20260910
50,0.2,0.05,0.015,1,0.015,100,1,1,0,-0.000821201484814704,0.0462873889299191,-0.0160233718729454,0.0544060611543199,0.0118672551231036,20260910
50,0.2,0.05,0.015,5,0.00670820393249937,100,1,0.99,0.01,-2.16387014007946e-05,0.0504459494603409,-0.0200623406191376,0.0599122629723132,0.00542210259738452,20260910
50,0.2,0.1,0.015,1,0.015,100,1,1,0,-0.00402184307884643,0.0505318002384045,-0.0152927217412671,0.0479537065438297,0.0118672551231036,20260910
50,0.2,0.1,0.015,5,0.00670820393249937,100,1,0.98,0.02,-0.00527232088862605,0.0528002175291316,-0.0205682051344722,0.0525239279280894,0.00542210259738453,20260910
50,0.2,0.05,0.03,1,0.03,100,1,1,0,-0.00610416840992221,0.0477014498696166,-0.0140684074478343,0.0495098851342538,0.0241504116016051,20260910
50,0.2,0.05,0.03,5,0.0134164078649987,100,1,1,0,-0.00393200380251006,0.0517531976528587,-0.0225234358893062,0.0542298467443536,0.010583467593821,20260910
50,0.2,0.1,0.03,1,0.03,100,1,1,0,-0.00818698756275697,0.0488992216010337,-0.00829753924179408,0.0485908890900074,0.024150411601605,20260910
50,0.2,0.1,0.03,5,0.0134164078649987,100,1,1,0,-0.0060600594843276,0.0499885101744596,-0.0190210046646488,0.0562275973793841,0.010583467593821,20260910
50,0.5,0.05,0,1,0,100,1,1,0,-0.00417609079405859,0.111109884282747,-0.0225693566528725,0.119680501737611,0,20260910
50,0.5,0.05,0,5,0,100,1,1,0,-0.00417609095836072,0.111109883958122,-0.0225693567942999,0.119680501517533,6.75015598972095e-18,20260910
50,0.5,0.1,0,1,0,100,0.98,0.98,0,0.000743248866632609,0.113232023344658,-0.0353460918714469,0.12048972429566,0,20260910
50,0.5,0.1,0,5,0,100,0.98,0.98,0,0.000743248964761253,0.113232023676276,-0.0353460917761607,0.120489724471764,7.8159700933611e-18,20260910
50,0.5,0.05,0.015,1,0.015,100,1,1,0,-0.00256293525975212,0.125532773808307,-0.0276314367555116,0.107414474026317,0.0120702043989635,20260910
50,0.5,0.05,0.015,5,0.00670820393249937,100,1,1,0,0.00261732555559867,0.120917117681988,-0.0327672500504486,0.12961102581104,0.00541263616865862,20260910
50,0.5,0.1,0.015,1,0.015,100,1,1,0,0.0125401837086712,0.124756116890574,-0.0520807799107089,0.138865142576754,0.0120702043989635,20260910
50,0.5,0.1,0.015,5,0.00670820393249937,100,1,1,0,0.0167560151830253,0.112838457456113,-0.0328223441642962,0.117632812910942,0.00541263616865862,20260910
50,0.5,0.05,0.03,1,0.03,100,1,1,0,0.00980383391738036,0.116848172735241,-0.0376765342035038,0.123060240267932,0.0235687362853284,20260910
50,0.5,0.05,0.03,5,0.0134164078649987,100,1,1,0,-0.00761550712478694,0.116486600618512,-0.0327489531962765,0.140537482652905,0.0106103930208355,20260910
50,0.5,0.1,0.03,1,0.03,100,1,1,0,0.000108118523075369,0.119096243962112,-0.0240191326730785,0.110754741766589,0.0235687362853284,20260910
50,0.5,0.1,0.03,5,0.0134164078649987,100,1,1,0,-0.00107548540569407,0.115067170162605,-0.0407637492095223,0.122594248386655,0.0106103930208355,20260910
