budget,true_sigma,increment,floor_factor,single_reading_sd,reading_count,expected_average_sd,repetitions,recorded_overlap_rate,actual_overlap_rate,false_overlap_rate,mu_bias,mu_rmse,sigma_bias,sigma_rmse,mean_abs_record_error,mean_duplicates,mean_stage2_tests,seed
50,0.2,0.05,2,0.015,4,0.0075,300,1,1,0,-0.0027148478104404,0.0485249675565775,-0.0160634946146863,0.0493522938532686,0.00602260686171512,33.1066666666667,3.83666666666667,20260912
50,0.2,0.05,0,0.015,5,0.00670820393249937,300,0.996666666666667,0.996666666666667,0,0.000688737434732899,0.0470869240210961,-0.0152257978092486,0.048586873964689,0.00532369546018493,33.39,3.93,20260912
50,0.2,0.05,1,0.015,5,0.00670820393249937,300,0.993333333333333,0.993333333333333,0,-2.49133904309754e-05,0.0473536059080525,-0.0160235281030093,0.0495219474292529,0.00533034630824124,33.4566666666667,4.18,20260912
50,0.2,0.05,2,0.015,5,0.00670820393249937,300,1,1,0,-0.000564698609880911,0.0475146970102185,-0.0150387467119254,0.0489319640171695,0.00536893679171659,33.37,3.86333333333333,20260912
50,0.2,0.1,0,0.015,4,0.0075,300,0.96,0.96,0,0.00528663913023911,0.0489950304026815,-0.0158992146248882,0.0510255239777082,0.00584313735803771,38.1033333333333,7.04,20260912
50,0.2,0.1,1,0.015,4,0.0075,300,0.983333333333333,0.983333333333333,0,0.00490098748042064,0.0489431562031784,-0.0164045973346968,0.0515301856605177,0.00576845821877555,37.9933333333333,6.68333333333333,20260912
50,0.2,0.1,2,0.015,4,0.0075,300,1,1,0,0.00414337073374252,0.0498614298255338,-0.0171650702151404,0.0512039387371558,0.00584917532335685,37.8933333333333,6.04,20260912
50,0.2,0.1,0,0.015,5,0.00670820393249937,300,0.97,0.97,0,-0.00179664054879795,0.0457486252351391,-0.00921295790945934,0.0492295501213484,0.00537068724488484,37.9766666666667,6.47,20260912
50,0.2,0.1,1,0.015,5,0.00670820393249937,300,0.986666666666667,0.986666666666667,0,-0.00314832858059263,0.0472223548044065,-0.00857537967269826,0.0487366549899716,0.00535335038214987,37.8833333333333,6.47,20260912
50,0.2,0.1,2,0.015,5,0.00670820393249937,300,1,1,0,-0.0034985188338776,0.0469925790719879,-0.00924051457967235,0.0487121445144869,0.0053369028950724,37.7966666666667,5.45333333333333,20260912
50,0.5,0.05,0,0.015,4,0.0075,300,0.996666666666667,0.996666666666667,0,-0.000322449741704726,0.10994920888413,-0.039702499164393,0.11915661644385,0.00591196227446086,24.6866666666667,3.15666666666667,20260912
50,0.5,0.05,1,0.015,4,0.0075,300,0.996666666666667,0.996666666666667,0,-0.000322449741704726,0.10994920888413,-0.039702499164393,0.11915661644385,0.00591196227446086,24.6866666666667,3.15666666666667,20260912
50,0.5,0.05,2,0.015,4,0.0075,300,1,1,0,-0.000696624149032597,0.109742261201208,-0.0411129217683436,0.121129311449126,0.00592434794557631,24.6333333333333,3.07333333333333,20260912
50,0.5,0.05,0,0.015,5,0.00670820393249937,300,1,1,0,0.010231593951692,0.118149281906844,-0.0402789743784762,0.130208301748448,0.00539133515401027,24.6666666666667,2.89,20260912
50,0.5,0.05,1,0.015,5,0.00670820393249937,300,1,1,0,0.010231593951692,0.118149281906844,-0.0402789743784762,0.130208301748448,0.00539133515401027,24.6666666666667,2.89,20260912
50,0.5,0.05,2,0.015,5,0.00670820393249937,300,1,1,0,0.0122053034491914,0.113493552375721,-0.0401677389335067,0.129939835067935,0.0054043186964174,24.61,2.81666666666667,20260912
50,0.5,0.1,0,0.015,4,0.0075,300,0.993333333333333,0.993333333333333,0,-0.00315294398782624,0.10427076770888,-0.045020796635915,0.125724685922234,0.00599133686626324,32.8133333333333,3.8,20260912
50,0.5,0.1,1,0.015,4,0.0075,300,1,1,0,-0.00424883483169052,0.105392123936374,-0.0460830403595396,0.125703933284659,0.00600892518465159,32.78,3.74,20260912
50,0.5,0.1,2,0.015,4,0.0075,300,1,1,0,-0.00544293457148861,0.105154666589908,-0.0441426432286273,0.123927577897865,0.00598163376842918,32.7333333333333,3.51333333333333,20260912
50,0.5,0.1,0,0.015,5,0.00670820393249937,300,1,1,0,0.0058745624923363,0.1165378309042,-0.0294275243657338,0.122661219884467,0.0052073487698435,32.4166666666667,2.75333333333333,20260912
50,0.5,0.1,1,0.015,5,0.00670820393249937,300,1,1,0,0.00606529071081384,0.116291598633078,-0.029551290250613,0.122980943690124,0.00520187626361636,32.4233333333333,2.77,20260912
50,0.5,0.1,2,0.015,5,0.00670820393249937,300,1,1,0,0.00783672278371269,0.115313563761119,-0.0306026278883157,0.123169824022166,0.00521916666201084,32.4566666666667,2.81333333333333,20260912
